brew_name,brew_loc,brew_tel,brew_des
Big Elm Brewing,Sheffield,,
Good People Brewing Company,Birmingham,,
Heavy Seas Beer,Halethorpe,,
Telluride Brewing Company,Telluride,,
7 Seas Brewing Company,Gig Harbor,,
Confluence Brewing Company,Des Moines,,
Bale Breaker Brewing Company,Yakima,,
The Manhattan Brewing Company,New York,,
MacTarnahans Brewing Company,Portland,,
Stillmank Beer Company,Green Bay,,
Redhook Brewery,Woodinville,,
Dock Street Brewery,Philadelphia,,
Blue Point Brewing Company,Patchogue,,
Tampa Bay Brewing Company,Tampa,,
Devil's Canyon Brewery,Belmont,,
Stone Coast Brewing Company,Portland,,
Broken Tooth Brewing Company,Anchorage,,
Seven Brides Brewery,Silverton,,
Newburyport Brewing Company,Newburyport,,
Dry Dock Brewing Company,Aurora,,
Cans Bar and Canteen,Charlotte,,
Sprecher Brewing Company,Glendale,,
Wildwood Brewing Company,Stevensville,,
High Noon Saloon And Brewery,Leavenworth,,
Woodchuck Hard Cider,Middlebury,,
Sea Dog Brewing Company,Portland,,
Oskar Blues Brewery,Lyons,,
Carolina Beer & Beverage,Mooresville,,
Krebs Brewing Company (Pete's Pl...,Krebs,,
Warbird Brewing Company,Fort Wayne,,
Mudshark Brewing Company,Lake Havasu City,,
Spilker Ales,Cortland,,
Wingman Brewers,Tacoma,,
Kettle House Brewing Company,Missoula,,
Sherwood Forest Brewers,Marlborough,,
Cottrell Brewing,Pawcatuck,,
Arctic Craft Brewery,Colorado Springs,,
Monkey Paw Pub & Brewery,San Diego,,
Crabtree Brewing Company,Greeley,,
Emerald City Beer Company,Seattle,,
Butcher's Brewing,Carlsbad,,
New South Brewing Company,Myrtle Beach,,
Big River Brewing Company,Chattanooga,,
Twisted Pine Brewing Company,Boulder,,
Flying Dog Brewery,Frederick,,
Uncommon Brewers,Santa Cruz,,
Aspen Brewing Company,Aspen,,
Triangle Brewing Company,Durham,,
Bomb Beer Company,New York,,
Churchkey Can Company,Seattle,,
Intuition Ale Works,Jacksonville,,
Asheville Brewing Company,Asheville,,
Northwoods Brewpub,Eau Claire,,
Buckbean Brewing Company,Reno,,
Dolores River Brewery,Dolores,,
Flat Rock Brewing Company,Smithton,,
Abita Brewing Company,Abita Springs,,
Mammoth Brewing Company,Mammoth Lakes,,
Harvest Moon Brewing Company,Belt,,
Grand Canyon Brewing Company,Williams,,
Lewis and Clark Brewing Company,Helena,,
Dundee Brewing Company,Rochester,,
Twin Lakes Brewing Company,Greenville,,
Mother Earth Brewing Company,Kinston,,
Arcadia Brewing Company,Battle Creek,,
Angry Minnow Brewing Company,Hayward,,
Great Northern Brewing Company,Whitefish,,
Pyramid Breweries,Seattle,,
Lancaster Brewing Company,Lancaster,,
Upstate Brewing Company,Elmira,,
Moat Mountain Smoke House & Brew...,North Conway,,
Prescott Brewing Company,Prescott,,
Mogollon Brewing Company,Flagstaff,,
Wind River Brewing Company,Pinedale,,
Silverton Brewery,Silverton,,
Mickey Finn's Brewery,Libertyville,,
Covington Brewhouse,Covington,,
Dave's Brewfarm,Wilson,,
Ukiah Brewing Company,Ukiah,,
Butternuts Beer and Ale,Garrattsville,,
Sleeping Lady Brewing Company,Anchorage,,
